pidlink,kw03,kw04
009170009,,
009175202,1.0,3:Self
009180003,,
009180005,,
009193104,1.0,3:Self
009194102,,
009194206,1.0,3:Self
009200002,,
009200003,1.0,3:Self
009210001,,
009210004,,
009215102,1.0,3:Self
009220002,,
009225102,2.0,3:Self
009230002,,
009230003,1.0,3:Self
009230004,1.0,3:Self
009240002,,
009260004,,
009280004,1.0,3:Self
009294102,,
009294203,1.0,3:Self
009301103,,
010030002,,
010050006,,
010052102,,
010052207,,
010053103,,
010060002,,
010060005,1.0,3:Self
010060008,,
010064102,,
010070002,,
010085102,1.0,3:Self
010100004,1.0,3:Self
010100007,1.0,3:Self
010105102,1.0,3:Self
010120002,,
010120007,1.0,3:Self
010120009,1.0,3:Self
010140003,,
010150001,,
010170007,1.0,3:Self
010174102,1.0,
010180004,,
010180007,,
010200004,,
010210006,1.0,3:Self
010210007,,
010210010,1.0,3:Self
010240003,1.0,3:Self
010250002,,
010251104,,
010260006,1.0,3:Self
010260011,1.0,3:Self
010260014,1.0,3:Self
010260017,1.0,3:Self
010270002,,
010270003,1.0,3:Self
010270011,,
010280003,,
010290002,,
010300004,,
010410003,1.0,3:Self
010410006,,
010415202,1.0,3:Self
010420003,1.0,3:Self
010430006,1.0,
010430007,,
010433102,,
010434102,,
010434302,,
010440002,,
010440004,,
010440006,1.0,3:Self
010440013,1.0,3:Self
010444202,1.0,3:Self
010450005,,
010460005,,
010460006,1.0,3:Self
010460009,,
010462102,,
011010002,,
011010003,1.0,3:Self
011034102,,
011040003,,
011040005,1.0,
011040006,,
011044102,,
011060002,,
011064102,1.0,3:Self
011080002,1.0,
011090001,1.0,
011100006,1.0,3:Self
011105102,1.0,1:Parent
011110002,,
011120002,,
011130003,,
011130006,1.0,3:Self
011140003,,
011150009,,
011151202,,
011160005,1.0,3:Self
011170006,,
011173102,,
011200002,1.0,3:Self
011210003,2.0,3:Self
011220002,,
011230008,1.0,3:Self
011234102,,
011240009,1.0,3:Self
011245102,1.0,3:Self
011250005,1.0,3:Self
011260005,,
011260006,1.0,3:Self
011260008,1.0,
011270002,,
011270003,,
011270007,1.0,3:Self
012010002,1.0,
012020002,2.0,
012030002,,
012040002,1.0,
