pidlink,marstat,age,sex,ever_married,male
003030003,2:Married,40.0,1:Male,1,1
003030005,5:Widowed,36.0,3:Female,1,0
003030007,2:Married,40.0,3:Female,1,0
003030008,1:Not yet married,15.0,1:Male,0,1
003031204,1:Not yet married,18.0,1:Male,0,1
003040001,2:Married,47.0,1:Male,1,1
003040002,2:Married,44.0,3:Female,1,0
003040003,2:Married,25.0,3:Female,1,0
003040004,1:Not yet married,22.0,3:Female,0,0
003040005,1:Not yet married,19.0,3:Female,0,0
003040006,1:Not yet married,17.0,3:Female,0,0
003040007,1:Not yet married,16.0,3:Female,0,0
003045101,2:Married,27.0,1:Male,1,1
003050001,2:Married,77.0,1:Male,1,1
003050002,2:Married,63.0,3:Female,1,0
003050003,2:Married,39.0,3:Female,1,0
003050004,2:Married,34.0,3:Female,1,0
003050005,1:Not yet married,33.0,1:Male,0,1
003050006,2:Married,31.0,1:Male,1,1
003050007,1:Not yet married,26.0,3:Female,0,0
003050008,2:Married,24.0,3:Female,1,0
003050009,1:Not yet married,18.0,3:Female,0,0
003050010,2:Married,26.0,1:Male,1,1
003054101,2:Married,39.0,1:Male,1,1
003055101,2:Married,42.0,1:Male,1,1
003055202,2:Married,30.0,3:Female,1,0
003070002,5:Widowed,51.0,3:Female,1,0
003070005,5:Widowed,94.0,3:Female,1,0
003080002,5:Widowed,52.0,3:Female,1,0
003080006,2:Married,27.0,1:Male,1,1
003080009,1:Not yet married,18.0,1:Male,0,1
003090002,5:Widowed,63.0,3:Female,1,0
003090005,2:Married,35.0,1:Male,1,1
003090006,2:Married,30.0,3:Female,1,0
003090008,2:Married,43.0,1:Male,1,1
003090019,1:Not yet married,20.0,3:Female,0,0
003094102,2:Married,32.0,1:Male,1,1
003100002,5:Widowed,69.0,3:Female,1,0
003100003,1:Not yet married,40.0,3:Female,0,0
003100004,2:Married,43.0,1:Male,1,1
003100005,2:Married,35.0,3:Female,1,0
003100006,2:Married,43.0,3:Female,1,0
003104103,1:Not yet married,19.0,1:Male,0,1
003104201,2:Married,36.0,1:Male,1,1
003110001,2:Married,45.0,1:Male,1,1
003110002,2:Married,48.0,3:Female,1,0
003110003,2:Married,26.0,3:Female,1,0
003110004,1:Not yet married,24.0,1:Male,0,1
003110005,1:Not yet married,18.0,3:Female,0,0
003115101,2:Married,28.0,1:Male,1,1
003120001,2:Married,47.0,1:Male,1,1
003120002,2:Married,50.0,3:Female,1,0
003120003,1:Not yet married,26.0,3:Female,0,0
003120004,1:Not yet married,24.0,1:Male,0,1
003120005,2:Married,33.0,3:Female,1,0
003121103,1:Not yet married,18.0,1:Male,0,1
003121104,1:Not yet married,16.0,3:Female,0,0
003130001,2:Married,55.0,1:Male,1,1
003130002,2:Married,47.0,3:Female,1,0
003130003,2:Married,28.0,1:Male,1,1
003130007,1:Not yet married,18.0,1:Male,0,1
003134105,2:Married,28.0,3:Female,1,0
003140002,5:Widowed,68.0,3:Female,1,0
003140004,2:Married,33.0,3:Female,1,0
003140005,2:Married,48.0,1:Male,1,1
003140006,2:Married,47.0,3:Female,1,0
003143101,2:Married,36.0,1:Male,1,1
003150001,5:Widowed,61.0,3:Female,1,0
