Variable,All Mean,All SD,All N,Women Mean,Women SD,Women N,Men Mean,Men SD,Men N
Log Monthly Income,13.266,3.212,11983,12.877,3.314,4332,13.48,3.135,7651
Monthly Income (IDR),1753516.347,2438533.198,11983,1378412.274,1696961.852,4332,1960060.951,2741344.369,7651
Age (years),37.246,11.85,11983,37.396,11.531,4332,37.164,12.021,7651
Education (years),10.415,3.593,11983,10.605,3.882,4332,10.31,3.419,7651
Urban (1=Urban),0.612,0.487,11983,0.615,0.486,4332,0.61,0.488,7651
Jawa Ethnicity (1=Yes),0.525,0.499,11983,0.57,0.495,4332,0.5,0.5,7651
Sunda Ethnicity (1=Yes),0.153,0.36,11983,0.144,0.351,4332,0.158,0.364,7651
Ever Married (1=Yes),0.828,0.378,11983,0.864,0.342,4332,0.808,0.394,7651
Ever Divorced (1=Yes),0.032,0.176,11983,0.05,0.219,4332,0.022,0.146,7651
