pidlink,marstat,age,sex
003194102,2:Married,30.0,3:Female
003200003,2:Married,43.0,3:Female
003200004,2:Married,35.0,1:Male
003200005,4:Divorced,56.0,1:Male
003203105,2:Married,44.0,1:Male
003205102,2:Married,34.0,3:Female
003240002,2:Married,49.0,1:Male
003240003,2:Married,43.0,3:Female
003240005,2:Married,33.0,3:Female
003240006,2:Married,40.0,3:Female
003240007,2:Married,47.0,1:Male
003240008,2:Married,42.0,3:Female
003240009,4:Divorced,24.0,1:Male
003243206,2:Married,17.0,3:Female
003243207,2:Married,39.0,1:Male
003244101,2:Married,39.0,1:Male
003245401,2:Married,21.0,1:Male
003250001,5:Widowed,87.0,3:Female
003250004,2:Married,46.0,1:Male
003250005,2:Married,41.0,3:Female
003260001,2:Married,59.0,1:Male
003260003,2:Married,31.0,1:Male
003260004,2:Married,29.0,1:Male
003260005,2:Married,26.0,3:Female
003260009,2:Married,51.0,3:Female
003264102,2:Married,29.0,3:Female
003265102,2:Married,28.0,3:Female
003265202,2:Married,27.0,1:Male
003270001,2:Married,56.0,1:Male
003270002,2:Married,55.0,3:Female
003270003,2:Married,21.0,1:Male
003270006,2:Married,22.0,3:Female
003280001,2:Married,54.0,1:Male
003280002,2:Married,48.0,3:Female
003290001,2:Married,51.0,1:Male
003290002,2:Married,47.0,3:Female
003290003,2:Married,27.0,1:Male
003294106,2:Married,25.0,3:Female
003300003,5:Widowed,57.0,3:Female
004010002,5:Widowed,47.0,3:Female
004020002,5:Widowed,46.0,3:Female
004020005,2:Married,27.0,1:Male
004020008,2:Married,22.0,3:Female
004024104,2:Married,28.0,3:Female
004025201,2:Married,33.0,1:Male
004030001,2:Married,62.0,1:Male
004030003,2:Married,41.0,3:Female
004030008,2:Married,24.0,1:Male
004030009,2:Married,44.0,1:Male
004032109,2:Married,23.0,3:Female
004035102,2:Married,51.0,3:Female
004040002,5:Widowed,57.0,3:Female
004040003,2:Married,33.0,1:Male
004040006,2:Married,27.0,3:Female
004040011,2:Married,35.0,3:Female
004045102,2:Married,29.0,1:Male
